LexToken(USING,'using',1,0)
LexToken(CLASSOBJECT,'System',1,6)
LexToken(SEMICOLON,';',1,12)
LexToken(NAMESPACE,'namespace',3,15)
LexToken(CLASSOBJECT,'Algorithms',3,25)
LexToken(SEMICOLON,';',3,35)
LexToken(PUBLIC,'public',5,38)
LexToken(CLASS,'class',5,45)
LexToken(CLASSOBJECT,'BinarySearch',5,51)
LexToken(LBRACKET,'{',6,64)
LexToken(PUBLIC,'public',7,70)
LexToken(STATIC,'static',7,77)
LexToken(INT,'int',7,84)
LexToken(ID,'search',7,88)
LexToken(LPAREN,'(',7,94)
LexToken(INT,'int',7,95)
LexToken(LSQBRACKET,'[',7,98)
LexToken(RSQBRACKET,']',7,99)
LexToken(ID,'array',7,101)
LexToken(COMMA,',',7,106)
LexToken(INT,'int',7,108)
LexToken(ID,'target',7,112)
LexToken(RPAREN,')',7,118)
LexToken(LBRACKET,'{',8,124)
LexToken(CLASSOBJECT,'List',9,134)
LexToken(LESS_THAN,'<',9,138)
LexToken(INT,'int',9,139)
LexToken(GREATER_THAN,'>',9,142)
LexToken(ID,'list',9,144)
LexToken(EQUALS,'=',9,149)
LexToken(LSQBRACKET,'[',9,151)
LexToken(INTEGER_TYPE,2,9,152)
LexToken(COMMA,',',9,153)
LexToken(INTEGER_TYPE,3,9,154)
LexToken(COMMA,',',9,155)
LexToken(INTEGER_TYPE,4,9,156)
LexToken(COMMA,',',9,157)
LexToken(INTEGER_TYPE,5,9,158)
LexToken(COMMA,',',9,159)
LexToken(INTEGER_TYPE,5,9,160)
LexToken(RSQBRACKET,']',9,161)
LexToken(SEMICOLON,';',9,162)
LexToken(INT,'int',10,172)
LexToken(ID,'left',10,176)
LexToken(EQUALS,'=',10,181)
LexToken(INTEGER_TYPE,0,10,183)
LexToken(SEMICOLON,';',10,184)
LexToken(INT,'int',11,194)
LexToken(ID,'right',11,198)
LexToken(EQUALS,'=',11,204)
LexToken(ID,'array',11,206)
LexToken(DOT,'.',11,211)
LexToken(CLASSOBJECT,'Length',11,212)
LexToken(MINUS,'-',11,219)
LexToken(INTEGER_TYPE,1,11,221)
LexToken(SEMICOLON,';',11,222)
LexToken(WHILE,'while',12,232)
LexToken(LPAREN,'(',12,238)
LexToken(ID,'left',12,239)
LexToken(LESS_EQUALS_THAN,'<=',12,244)
LexToken(ID,'right',12,247)
LexToken(RPAREN,')',12,252)
LexToken(LBRACKET,'{',13,262)
LexToken(INT,'int',14,276)
LexToken(ID,'mid',14,280)
LexToken(EQUALS,'=',14,284)
LexToken(ID,'left',14,286)
LexToken(PLUS,'+',14,291)
LexToken(LPAREN,'(',14,293)
LexToken(ID,'right',14,294)
LexToken(MINUS,'-',14,300)
LexToken(ID,'left',14,302)
LexToken(RPAREN,')',14,306)
LexToken(DIVIDE,'/',14,308)
LexToken(INTEGER_TYPE,2,14,310)
LexToken(SEMICOLON,';',14,311)
LexToken(IF,'if',15,325)
LexToken(LPAREN,'(',15,328)
LexToken(ID,'array',15,329)
LexToken(LSQBRACKET,'[',15,334)
LexToken(ID,'mid',15,335)
LexToken(RSQBRACKET,']',15,338)
LexToken(EQUALITY,'==',15,340)
LexToken(ID,'target',15,343)
LexToken(RPAREN,')',15,349)
LexToken(LBRACKET,'{',16,363)
LexToken(RETURN,'return',17,381)
LexToken(ID,'mid',17,388)
LexToken(SEMICOLON,';',17,391)
LexToken(RBRACKET,'}',18,405)
LexToken(IF,'if',19,419)
LexToken(LPAREN,'(',19,422)
LexToken(ID,'array',19,423)
LexToken(LSQBRACKET,'[',19,428)
LexToken(ID,'mid',19,429)
LexToken(RSQBRACKET,']',19,432)
LexToken(LESS_THAN,'<',19,434)
LexToken(ID,'target',19,436)
LexToken(RPAREN,')',19,442)
LexToken(LBRACKET,'{',20,456)
LexToken(ID,'left',21,474)
LexToken(EQUALS,'=',21,479)
LexToken(ID,'mid',21,481)
LexToken(PLUS,'+',21,485)
LexToken(INTEGER_TYPE,1,21,487)
LexToken(SEMICOLON,';',21,488)
LexToken(RBRACKET,'}',22,502)
LexToken(ELSE,'else',23,516)
LexToken(LBRACKET,'{',24,533)
LexToken(ID,'right',25,551)
LexToken(EQUALS,'=',25,557)
LexToken(ID,'mid',25,559)
LexToken(MINUS,'-',25,563)
LexToken(INTEGER_TYPE,1,25,565)
LexToken(SEMICOLON,';',25,566)
LexToken(RBRACKET,'}',26,580)
LexToken(RBRACKET,'}',27,590)
LexToken(RETURN,'return',28,600)
LexToken(MINUS,'-',28,607)
LexToken(INTEGER_TYPE,1,28,608)
LexToken(SEMICOLON,';',28,609)
LexToken(RBRACKET,'}',29,615)
LexToken(RBRACKET,'}',30,617)
