LexToken(USING,'using',1,0)
LexToken(CLASSOBJECT,'System',1,6)
LexToken(SEMICOLON,';',1,12)
LexToken(NAMESPACE,'namespace',3,15)
LexToken(CLASSOBJECT,'Algorithms',3,25)
LexToken(SEMICOLON,';',3,35)
LexToken(PUBLIC,'public',5,38)
LexToken(CLASS,'class',5,45)
LexToken(CLASSOBJECT,'BinarySearch',5,51)
LexToken(LBRACKET,'{',6,64)
LexToken(PUBLIC,'public',7,70)
LexToken(STATIC,'static',7,77)
LexToken(INT,'int',7,84)
LexToken(ID,'search',7,88)
LexToken(LPAREN,'(',7,94)
LexToken(INT,'int',7,95)
LexToken(LSQBRACKET,'[',7,98)
LexToken(RSQBRACKET,']',7,99)
LexToken(ID,'array',7,101)
LexToken(COMMA,',',7,106)
LexToken(INT,'int',7,108)
LexToken(ID,'target',7,112)
LexToken(RPAREN,')',7,118)
LexToken(LBRACKET,'{',8,124)
LexToken(CLASSOBJECT,'List',9,134)
LexToken(LESS_THAN,'<',9,138)
LexToken(INT,'int',9,139)
LexToken(GREATER_THAN,'>',9,142)
LexToken(ID,'lista',9,144)
LexToken(EQUALS,'=',9,150)
LexToken(LSQBRACKET,'[',9,152)
LexToken(INTEGER_TYPE,2,9,153)
LexToken(COMMA,',',9,154)
LexToken(INTEGER_TYPE,3,9,155)
LexToken(COMMA,',',9,156)
LexToken(INTEGER_TYPE,4,9,157)
LexToken(COMMA,',',9,158)
LexToken(INTEGER_TYPE,5,9,159)
LexToken(COMMA,',',9,160)
LexToken(INTEGER_TYPE,5,9,161)
LexToken(RSQBRACKET,']',9,162)
LexToken(SEMICOLON,';',9,163)
LexToken(INT,'int',10,173)
LexToken(ID,'left',10,177)
LexToken(EQUALS,'=',10,182)
LexToken(INTEGER_TYPE,0,10,184)
LexToken(SEMICOLON,';',10,185)
LexToken(INT,'int',11,195)
LexToken(ID,'right',11,199)
LexToken(EQUALS,'=',11,205)
LexToken(ID,'array',11,207)
LexToken(DOT,'.',11,212)
LexToken(CLASSOBJECT,'Length',11,213)
LexToken(MINUS,'-',11,220)
LexToken(INTEGER_TYPE,1,11,222)
LexToken(SEMICOLON,';',11,223)
LexToken(WHILE,'while',12,233)
LexToken(LPAREN,'(',12,239)
LexToken(ID,'left',12,240)
LexToken(LESS_EQUALS_THAN,'<=',12,245)
LexToken(ID,'right',12,248)
LexToken(RPAREN,')',12,253)
LexToken(LBRACKET,'{',13,263)
LexToken(INT,'int',14,277)
LexToken(ID,'mid',14,281)
LexToken(EQUALS,'=',14,285)
LexToken(ID,'left',14,287)
LexToken(PLUS,'+',14,292)
LexToken(LPAREN,'(',14,294)
LexToken(ID,'right',14,295)
LexToken(MINUS,'-',14,301)
LexToken(ID,'left',14,303)
LexToken(RPAREN,')',14,307)
LexToken(DIVIDE,'/',14,309)
LexToken(INTEGER_TYPE,2,14,311)
LexToken(SEMICOLON,';',14,312)
LexToken(IF,'if',15,326)
LexToken(LPAREN,'(',15,329)
LexToken(ID,'array',15,330)
LexToken(LSQBRACKET,'[',15,335)
LexToken(ID,'mid',15,336)
LexToken(RSQBRACKET,']',15,339)
LexToken(EQUALITY,'==',15,341)
LexToken(ID,'target',15,344)
LexToken(RPAREN,')',15,350)
LexToken(LBRACKET,'{',16,364)
LexToken(RETURN,'return',17,382)
LexToken(ID,'mid',17,389)
LexToken(SEMICOLON,';',17,392)
LexToken(RBRACKET,'}',18,406)
LexToken(IF,'if',19,420)
LexToken(LPAREN,'(',19,423)
LexToken(ID,'array',19,424)
LexToken(LSQBRACKET,'[',19,429)
LexToken(ID,'mid',19,430)
LexToken(RSQBRACKET,']',19,433)
LexToken(LESS_THAN,'<',19,435)
LexToken(ID,'target',19,437)
LexToken(RPAREN,')',19,443)
LexToken(LBRACKET,'{',20,457)
LexToken(ID,'left',21,475)
LexToken(EQUALS,'=',21,480)
LexToken(ID,'mid',21,482)
LexToken(PLUS,'+',21,486)
LexToken(INTEGER_TYPE,1,21,488)
LexToken(SEMICOLON,';',21,489)
LexToken(RBRACKET,'}',22,503)
LexToken(ELSE,'else',23,517)
LexToken(LBRACKET,'{',24,534)
LexToken(ID,'right',25,552)
LexToken(EQUALS,'=',25,558)
LexToken(ID,'mid',25,560)
LexToken(MINUS,'-',25,564)
LexToken(INTEGER_TYPE,1,25,566)
LexToken(SEMICOLON,';',25,567)
LexToken(RBRACKET,'}',26,581)
LexToken(RBRACKET,'}',27,591)
LexToken(RETURN,'return',28,601)
LexToken(MINUS,'-',28,608)
LexToken(INTEGER_TYPE,1,28,609)
LexToken(SEMICOLON,';',28,610)
LexToken(RBRACKET,'}',29,616)
LexToken(RBRACKET,'}',30,618)
