LexToken(USING,'using',544,0)
LexToken(CLASSOBJECT,'System',544,6)
LexToken(SEMICOLON,';',544,12)
LexToken(NAMESPACE,'namespace',546,15)
LexToken(CLASSOBJECT,'Algorithms',546,25)
LexToken(SEMICOLON,';',546,35)
LexToken(PUBLIC,'public',548,38)
LexToken(CLASS,'class',548,45)
LexToken(CLASSOBJECT,'BinarySearch',548,51)
LexToken(LBRACKET,'{',549,64)
LexToken(PUBLIC,'public',550,70)
LexToken(STATIC,'static',550,77)
LexToken(INT,'int',550,84)
LexToken(ID,'search',550,88)
LexToken(LPAREN,'(',550,94)
LexToken(INT,'int',550,95)
LexToken(LSQBRACKET,'[',550,98)
LexToken(RSQBRACKET,']',550,99)
LexToken(ID,'array',550,101)
LexToken(COMMA,',',550,106)
LexToken(INT,'int',550,108)
LexToken(ID,'target',550,112)
LexToken(RPAREN,')',550,118)
LexToken(LBRACKET,'{',551,124)
LexToken(INT,'int',552,134)
LexToken(ID,'left',552,138)
LexToken(EQUALS,'=',552,143)
LexToken(INTEGER_TYPE,0,552,145)
LexToken(SEMICOLON,';',552,146)
LexToken(INT,'int',553,156)
LexToken(ID,'right',553,160)
LexToken(EQUALS,'=',553,166)
LexToken(ID,'array',553,168)
LexToken(DOT,'.',553,173)
LexToken(CLASSOBJECT,'Length',553,174)
LexToken(MINUS,'-',553,181)
LexToken(INTEGER_TYPE,1,553,183)
LexToken(SEMICOLON,';',553,184)
LexToken(WHILE,'while',554,194)
LexToken(LPAREN,'(',554,200)
LexToken(ID,'left',554,201)
LexToken(LESS_EQUALS_THAN,'<=',554,206)
LexToken(ID,'right',554,209)
LexToken(RPAREN,')',554,214)
LexToken(LBRACKET,'{',555,224)
LexToken(INT,'int',556,238)
LexToken(ID,'mid',556,242)
LexToken(EQUALS,'=',556,246)
LexToken(ID,'left',556,248)
LexToken(PLUS,'+',556,253)
LexToken(LPAREN,'(',556,255)
LexToken(ID,'right',556,256)
LexToken(MINUS,'-',556,262)
LexToken(ID,'left',556,264)
LexToken(RPAREN,')',556,268)
LexToken(DIVIDE,'/',556,270)
LexToken(INTEGER_TYPE,2,556,272)
LexToken(SEMICOLON,';',556,273)
LexToken(IF,'if',557,287)
LexToken(LPAREN,'(',557,290)
LexToken(ID,'array',557,291)
LexToken(LSQBRACKET,'[',557,296)
LexToken(ID,'mid',557,297)
LexToken(RSQBRACKET,']',557,300)
LexToken(EQUALITY,'==',557,302)
LexToken(ID,'target',557,305)
LexToken(RPAREN,')',557,311)
LexToken(LBRACKET,'{',558,325)
LexToken(RETURN,'return',559,343)
LexToken(ID,'mid',559,350)
LexToken(SEMICOLON,';',559,353)
LexToken(RBRACKET,'}',560,367)
LexToken(IF,'if',561,381)
LexToken(LPAREN,'(',561,384)
LexToken(ID,'array',561,385)
LexToken(LSQBRACKET,'[',561,390)
LexToken(ID,'mid',561,391)
LexToken(RSQBRACKET,']',561,394)
LexToken(LESS_THAN,'<',561,396)
LexToken(ID,'target',561,398)
LexToken(RPAREN,')',561,404)
LexToken(LBRACKET,'{',562,418)
LexToken(ID,'left',563,436)
LexToken(EQUALS,'=',563,441)
LexToken(ID,'mid',563,443)
LexToken(PLUS,'+',563,447)
LexToken(INTEGER_TYPE,1,563,449)
LexToken(SEMICOLON,';',563,450)
LexToken(RBRACKET,'}',564,464)
LexToken(ELSE,'else',565,478)
LexToken(LBRACKET,'{',566,495)
LexToken(ID,'right',567,513)
LexToken(EQUALS,'=',567,519)
LexToken(ID,'mid',567,521)
LexToken(MINUS,'-',567,525)
LexToken(INTEGER_TYPE,1,567,527)
LexToken(SEMICOLON,';',567,528)
LexToken(RBRACKET,'}',568,542)
LexToken(RBRACKET,'}',569,552)
LexToken(RETURN,'return',570,562)
LexToken(MINUS,'-',570,569)
LexToken(INTEGER_TYPE,1,570,570)
LexToken(SEMICOLON,';',570,571)
LexToken(RBRACKET,'}',571,577)
LexToken(RBRACKET,'}',572,579)
