LexToken(USING,'using',1,0)
LexToken(CLASSOBJECT,'System',1,6)
LexToken(SEMICOLON,';',1,12)
LexToken(NAMESPACE,'namespace',3,15)
LexToken(CLASSOBJECT,'Algorithms',3,25)
LexToken(SEMICOLON,';',3,35)
LexToken(PUBLIC,'public',5,38)
LexToken(CLASS,'class',5,45)
LexToken(CLASSOBJECT,'BinarySearch',5,51)
LexToken(LBRACKET,'{',6,64)
LexToken(PUBLIC,'public',7,70)
LexToken(STATIC,'static',7,77)
LexToken(INT,'int',7,84)
LexToken(ID,'search',7,88)
LexToken(LPAREN,'(',7,94)
LexToken(INT,'int',7,95)
LexToken(LSQBRACKET,'[',7,98)
LexToken(RSQBRACKET,']',7,99)
LexToken(ID,'array',7,101)
LexToken(COMMA,',',7,106)
LexToken(INT,'int',7,108)
LexToken(ID,'target',7,112)
LexToken(RPAREN,')',7,118)
LexToken(LBRACKET,'{',8,124)
LexToken(INT,'int',9,134)
LexToken(LSQBRACKET,'[',9,137)
LexToken(RSQBRACKET,']',9,138)
LexToken(ID,'test',9,140)
LexToken(EQUALS,'=',9,145)
LexToken(LSQBRACKET,'[',9,147)
LexToken(INTEGER_TYPE,2,9,148)
LexToken(COMMA,',',9,149)
LexToken(INTEGER_TYPE,3,9,150)
LexToken(COMMA,',',9,151)
LexToken(INTEGER_TYPE,4,9,152)
LexToken(COMMA,',',9,153)
LexToken(INTEGER_TYPE,5,9,154)
LexToken(COMMA,',',9,155)
LexToken(INTEGER_TYPE,5,9,156)
LexToken(RSQBRACKET,']',9,157)
LexToken(SEMICOLON,';',9,158)
LexToken(CLASSOBJECT,'List',10,168)
LexToken(LESS_THAN,'<',10,172)
LexToken(INT,'int',10,173)
LexToken(GREATER_THAN,'>',10,176)
LexToken(LIST,'list',10,178)
LexToken(EQUALS,'=',10,183)
LexToken(LSQBRACKET,'[',10,185)
LexToken(INTEGER_TYPE,2,10,186)
LexToken(COMMA,',',10,187)
LexToken(INTEGER_TYPE,3,10,188)
LexToken(COMMA,',',10,189)
LexToken(INTEGER_TYPE,4,10,190)
LexToken(COMMA,',',10,191)
LexToken(INTEGER_TYPE,5,10,192)
LexToken(COMMA,',',10,193)
LexToken(INTEGER_TYPE,5,10,194)
LexToken(RSQBRACKET,']',10,195)
LexToken(SEMICOLON,';',10,196)
LexToken(INT,'int',11,206)
LexToken(ID,'left',11,210)
LexToken(EQUALS,'=',11,215)
LexToken(INTEGER_TYPE,0,11,217)
LexToken(SEMICOLON,';',11,218)
LexToken(INT,'int',12,228)
LexToken(ID,'right',12,232)
LexToken(EQUALS,'=',12,238)
LexToken(ID,'array',12,240)
LexToken(DOT,'.',12,245)
LexToken(CLASSOBJECT,'Length',12,246)
LexToken(MINUS,'-',12,253)
LexToken(INTEGER_TYPE,1,12,255)
LexToken(SEMICOLON,';',12,256)
LexToken(WHILE,'while',13,266)
LexToken(LPAREN,'(',13,272)
LexToken(ID,'left',13,273)
LexToken(LESS_EQUALS_THAN,'<=',13,278)
LexToken(ID,'right',13,281)
LexToken(RPAREN,')',13,286)
LexToken(LBRACKET,'{',14,296)
LexToken(INT,'int',15,310)
LexToken(ID,'mid',15,314)
LexToken(EQUALS,'=',15,318)
LexToken(ID,'left',15,320)
LexToken(PLUS,'+',15,325)
LexToken(LPAREN,'(',15,327)
LexToken(ID,'right',15,328)
LexToken(MINUS,'-',15,334)
LexToken(ID,'left',15,336)
LexToken(RPAREN,')',15,340)
LexToken(DIVIDE,'/',15,342)
LexToken(INTEGER_TYPE,2,15,344)
LexToken(SEMICOLON,';',15,345)
LexToken(IF,'if',16,359)
LexToken(LPAREN,'(',16,362)
LexToken(ID,'array',16,363)
LexToken(LSQBRACKET,'[',16,368)
LexToken(ID,'mid',16,369)
LexToken(RSQBRACKET,']',16,372)
LexToken(EQUALITY,'==',16,374)
LexToken(ID,'target',16,377)
LexToken(RPAREN,')',16,383)
LexToken(LBRACKET,'{',17,397)
LexToken(RETURN,'return',18,415)
LexToken(ID,'mid',18,422)
LexToken(SEMICOLON,';',18,425)
LexToken(RBRACKET,'}',19,439)
LexToken(IF,'if',20,453)
LexToken(LPAREN,'(',20,456)
LexToken(ID,'array',20,457)
LexToken(LSQBRACKET,'[',20,462)
LexToken(ID,'mid',20,463)
LexToken(RSQBRACKET,']',20,466)
LexToken(LESS_THAN,'<',20,468)
LexToken(ID,'target',20,470)
LexToken(RPAREN,')',20,476)
LexToken(LBRACKET,'{',21,490)
LexToken(ID,'left',22,508)
LexToken(EQUALS,'=',22,513)
LexToken(ID,'mid',22,515)
LexToken(PLUS,'+',22,519)
LexToken(INTEGER_TYPE,1,22,521)
LexToken(SEMICOLON,';',22,522)
LexToken(RBRACKET,'}',23,536)
LexToken(ELSE,'else',24,550)
LexToken(LBRACKET,'{',25,567)
LexToken(ID,'right',26,585)
LexToken(EQUALS,'=',26,591)
LexToken(ID,'mid',26,593)
LexToken(MINUS,'-',26,597)
LexToken(INTEGER_TYPE,1,26,599)
LexToken(SEMICOLON,';',26,600)
LexToken(RBRACKET,'}',27,614)
LexToken(RBRACKET,'}',28,624)
LexToken(RETURN,'return',29,634)
LexToken(MINUS,'-',29,641)
LexToken(INTEGER_TYPE,1,29,642)
LexToken(SEMICOLON,';',29,643)
LexToken(RBRACKET,'}',30,649)
LexToken(RBRACKET,'}',31,651)
